RETURN_DATE,PRODUCT_ID,RETURN_ID,STATE,C5
Return_Date,Product_ID,Return_ID,State,Abbreviation
8/29/2024,433V2428H28231GW,60885564,Pennsylvania,PA
8/29/2024,682N2685J55353WY,48004435,Washington,WA
8/29/2024,251F2339D11259BK,62792260,Wisconsin,WI
8/28/2024,143T2823F84043WV,82600561,Wisconsin,WI
8/28/2024,690Y7820H85174WN,17486205,West Virginia,WV
8/27/2024,212J2000A80592LU,94733777,New York,NY
8/27/2024,846B1768D74467XK,48016378,Alabama,AL
8/27/2024,286U2485Y64560FD,72388093,Wyoming,WY
8/27/2024,803Z2011V42232VP,34243697,Colorado,CO
8/26/2024,943Z3144R72128AC,66358357,Michigan,MI
8/26/2024,249I2145I52679HA,56142092,Connecticut,CT
8/26/2024,221G7829S61769YW,77865442,Idaho,ID
8/26/2024,736L4545M14515CT,27730523,Oklahoma,OK
8/26/2024,868Z3612X31694SO,42393976,Kansas,KS
8/26/2024,393K4289V81080FZ,31949116,Virginia,VA
8/26/2024,317Q8908Y53975AS,91140944,California,CA
8/26/2024,144J5848B87791WU,45660237,Connecticut,CT
8/26/2024,421C3517U73993PS,46152010,District of Columbia,DC
8/25/2024,298S5712F99699WE,20191107,California,CA
8/25/2024,222D1357E40385CI,73874837,Texas,TX
8/25/2024,644J2143H60609VG,34818277,Michigan,MI
8/25/2024,377E2471Y56785VC,13917248,New Jersey,NJ
8/24/2024,526R8224D88189MI,48271520,Utah,UT
8/24/2024,526R8224D88189MI,37874589,New Mexico,NM
8/24/2024,148X8773K65911BH,87495444,Tennessee,TN
8/24/2024,974D6146T48234PR,71419181,Missouri,MO
8/24/2024,679N9393P72490UP,14681159,Maryland,MD
8/24/2024,661V1474R12602AP,23122002,Connecticut,CT
8/24/2024,194G9844B47969XP,21973670,Connecticut,CT
8/24/2024,526R8224D88189MI,81594580,New Jersey,NJ
8/24/2024,526R8224D88189MI,48530607,West Virginia,WV
8/24/2024,194G9844B47969XP,79505474,Missouri,MO
8/24/2024,266X7470K33444FK,32751163,New Hampshire,NH
8/24/2024,544X2265J84747NW,32156518,New York,NY
8/24/2024,526R8224D88189MI,19574180,Virginia,VA
8/23/2024,523T5934M77740NC,22699299,South Dakota,SD
8/22/2024,217D9410L10575RR,46349190,Indiana,IN
8/22/2024,970G2766O14191SZ,36715365,Montana,MT
8/22/2024,233K8559L95337FT,49031795,Delaware,DE
8/22/2024,888O5153V87209LN,31847160,Oklahoma,OK
8/22/2024,866L6666X72289IM,80319767,Mississippi,MS
8/22/2024,780N4127H98536JX,10150475,Nebraska,NE
8/22/2024,970G2766O14191SZ,61019099,California,CA
8/22/2024,970G2766O14191SZ,15005108,District of Columbia,DC
8/20/2024,414O6272H47162SM,48897345,North Carolina,NC
8/20/2024,867Y2177R43738HW,42087642,Utah,UT
8/20/2024,318H6001I93542NT,62432535,Delaware,DE
8/20/2024,607D1102N19864UR,22398299,Vermont,VT
8/19/2024,361B7793W21921ER,75865634,New Hampshire,NH
8/19/2024,354U6516J47831KA,47591704,North Dakota,ND
8/19/2024,639Z1814H45870IA,15772257,Mississippi,MS
8/19/2024,856C1325J45416BR,58655367,Mississippi,MS
8/19/2024,183D9270O49999SA,82779307,Nevada,NV
8/19/2024,544W3944W26230UA,43598740,Utah,UT
8/19/2024,842I9642C49613IZ,33741973,South Carolina,SC
8/18/2024,393P7188D12233QI,87181530,Alabama,AL
8/18/2024,362Y5705V20756NQ,92192707,Illinois,IL
8/18/2024,699H2327P54486QI,21512641,Colorado,CO
8/18/2024,601C7375C42104MO,46092162,Delaware,DE
8/18/2024,875M1417R80902KX,37845841,Oregon,OR
8/18/2024,278P9226F58253PL,39335593,South Carolina,SC
8/18/2024,825V9925W37819RR,22439600,Kentucky,KY
8/17/2024,139T8502T12712WP,42085344,Connecticut,CT
8/17/2024,201C5888W92717KF,24716601,Ohio,OH
8/17/2024,323D2085G53491LF,92313351,Louisiana,LA
8/17/2024,798U1573N10865WB,82215924,Maine,ME
8/17/2024,424B9816R89831DW,15364771,Mississippi,MS
8/17/2024,941C2659V59815IM,63453207,Nebraska,NE
8/17/2024,622A7345X11507KU,47006496,District of Columbia,DC
8/17/2024,603L5365A59182LP,76124987,Minnesota,MN
8/17/2024,999D5376U17093ZC,69045962,Virginia,VA
8/17/2024,495G3962P99452XB,98933705,Pennsylvania,PA
