RowNumber,AgingDays,Number_At_Risk_Nt,Number_of_Deaths_Dt,Number_Censored_Ct,Survival_Probability_St,GreenwoodVarianceEstimationforKaplanMeier,StandardErrorLinear,MarginofErrorLinear,UpperLimitLinear,LowerLimitLinear,LogLogSurvival,SE_LogLogSurvival,Upper_LogLog,Lower_LogLog,UpperLimit,LowerLimit,MarginofError,CumulativeHazard,VarianceofNelsonAalenEstimator,UpperLimitLargeSample,LowerLimitLargeSample,LogtransformedUpperLimit,LogtransformedLowerLimit,SurvivalFunctionEstimateNelsonAalen
1,0,336,3,0,1.000000000000,0.000027000000,0.005196152423,0.01018445875,1,0.9898155413,-36.739033183,519615.248026686,1018409.14709912,-1018482.62516549,0,1,0,0.008929,0.000026,0.01892307825,-0.001065078247,0.02734646977,0.002915441798,0.9911107451
2,1,333,6,0,0.981982000000,0.000079071669,0.0088922252,0.01742876139,0.9994107614,0.9645532386,-4.007306655,-0.4890596801,-4.965863628,-3.048749682,0.9930523205,0.9536885054,0.01968190758,0.026947,0.000079,0.04436786106,0.009526138942,0.05143701649,0.01411708646,0.973412831
3,2,327,3,0,0.972973297132,0.000104134474,0.01020463003,0.02000107485,0.992974372,0.9529722223,-3.597261982,-0.3724504053,-4.327264777,-2.867259188,0.9868831723,0.9447314792,0.02107584656,0.036121,0.000107,0.05639539765,0.01584660235,0.06331774136,0.02060601994,0.9645235791
4,3,324,4,0,0.960960675342,0.000137593368,0.01173001995,0.0229908391,0.9839515144,0.9379698362,-3.223341126,-0.2945629523,-3.800684512,-2.645997739,0.9778925676,0.9315228637,0.02318485198,0.048467,0.000145,0.07206852537,0.02486547463,0.07887338753,0.02978254342,0.9526887775
5,4,320,2,0,0.954954993750,0.000154117698,0.01241441493,0.02433225326,0.979287247,0.9306227405,-3.077136056,-0.2693453984,-3.605053037,-2.549219075,0.9731802103,0.9248324753,0.02417386754,0.054717,0.000164,0.07981724701,0.02961675299,0.08656563751,0.03458589546,0.9467530412
6,5,318,5,0,0.939940242535,0.000193483797,0.01390984533,0.02726329684,0.9672035394,0.9126769457,-2.781605579,-0.2245734055,-3.221769454,-2.341441704,0.9609004916,0.9082924577,0.02630401695,0.070440,0.000213,0.09904525826,0.04183474174,0.105726465,0.04693047859,0.9319836569
7,6,313,0,0,0.939940000000,0.000193483698,0.01390984177,0.02726328986,0.9672032899,0.9126767101,-2.781601457,-0.2245724222,-3.221763404,-2.341439509,0.9609002597,0.9082922659,0.02630399692,0.070440,0.000213,0.09904525826,0.04183474174,0.105726465,0.04693047859,0.9319836569
8,7,313,4,0,0.927927566800,0.000223872888,0.01496238243,0.02932626956,0.9572538364,0.8986012972,-2.59291603,-0.200027604,-2.984970134,-2.200861926,0.9507149362,0.8952003819,0.02775727715,0.083220,0.000253,0.1143957085,0.05204429151,0.121038138,0.05721806792,0.9201486922
9,8,309,4,0,0.915915972040,0.000253348424,0.01591692257,0.03119716823,0.9471131403,0.8847188038,-2.432344712,-0.1812228847,-2.787541566,-2.077147858,0.9402848669,0.8822436274,0.02902061977,0.096165,0.000294,0.1297719993,0.06255800073,0.1363926311,0.06780210302,0.9083141319
10,9,305,3,0,0.906907050224,0.000275530933,0.01659912446,0.03253428395,0.9394413342,0.8743727663,-2.325696989,-0.1698723109,-2.658646718,-1.99274726,0.9323537787,0.8725630159,0.02989538139,0.106001,0.000326,0.1413897214,0.07061227863,0.1480131677,0.07591359728,0.8994237487
